"login","rater","latest_login","self_assessment","rating","comment"
"opic141","christine","2011-11-10 02:35 PM","Novice","NL","You speak too softly. It shows that you lack confidence in answering the questions. In taking this test, you must speak assertively. Lack of vocabulary hinders you to express your thoughts and ideas. Furthermore, you could hardly construct sentences with correct grammar structure."
"hsu05950962","christine","2011-11-10 02:20 PM","Intermediate","IL","Your speech is filled with hesitancy and inaccuracy. Better understanding of the questions is advised because most of your answers are out of the scope. Your grammar usage is inconsistent as well as the tenses of verbs. Use appropriate words in your sentence to avoid confusion/misunderstanding."
"yu111","christine","2011-11-10 02:17 PM","Intermediate","NH","You have made several inaccuracies while giving your response. Most of your sentences aren't well constructed. In addition, you haven't followed the correct sentence pattern. Oftentimes, it's been shuffled! Hence, the idea you want to impart is vague."
"hsu07350412","christine","2011-11-10 02:15 PM","Intermediate","IL","You are able to answer the questions but not perfectly. You tend to be unconfident to express more and have difficulty in elaborating your answers as well. Your speech is often filled with hesitancy which gives you an edge to make frequent pauses. You tend to misuse some words in your sentences. For you to get a higher level, concentrate in getting the main target of the question so that you can fully comprehend the flow of your ideas in giving your response."
"opic102","christine","2011-11-10 02:11 PM","IntermediateHigh","IM1","You are able to answer the questions but not perfectly. You tend to be unconfident to express more and have difficulty in elaborating your answers.   For you to get a higher level, concentrate in getting the main target of the question so that you can fully comprehend the flow of your ideas in giving your response."
"hsu08330462","christine","2011-11-10 02:06 PM","IntermediateHigh","IM3","It shows that your comprehension skill is good because you are able to give relevant responses to most of the questions. The ideas you've uttered are comprehensible. However, your grammar is inconsistent as well as the usage of words in your sentences. Therefore, you need to work on your grammar structure and you are advised to learn more words to express more sensible and meaningful ideas."
"hsu05360351","christine","2011-11-10 02:05 PM","IntermediateHigh","IM1","You must learn how to speak assertively to deliver your response smoothly. Your answers are inaccurate, some are relevant and some are not. Tenses of verbs are not consistently used in your sentences as well but you know how to construct sentences. For you to get a higher level, you have to understand clearly the questions and get the main target so that it would be easier for you to express your own thoughts and ideas."
"opic31","christine","2011-10-13 04:11 PM","Advanced","IM3","You speak assertively which means expressing your thoughts and opinions with confidence and a belief in your right to express them. This does not necessarily mean that everything you say will be correct but that you are not afraid to express yourself and you do so without apology. You have answered all the questions but some of your ideas are too shallow. Tenses of verbs are not consistently used in your sentences."
"hsu08330461","jiji","2011-10-13 03:57 PM","IntermediateHigh","IM3","Open your mouth when you speak so that you will be able to articulate words well. Do not speak too fast so that the words that you utter can be understood. You know how to compose sentences but be mindful with the the usage of conjunctions, prepositions, and the tenses. Try to control your pacing because sometimes you speak too fast. Learn more expression for you not to sound monotonous all the time."
"hsu07331111","jiji","2011-10-13 03:57 PM","IntermediateHigh","IH","You are able to pronounce almost all of the words well though there are some lapses specifically with the vowel sounds like /a/,/e/,/i/,/o/,/u/. You have the expression though there are times that you have the tendency to stutter. Know more expression so that you will not sound monotonous all the time. You know how to construct sentences bu there are some numbers which you always do frequent pauses that's why you always ran out of time to finish your answers. You are able to give good explanations to most of the questions."
"hsu09121051","jiji","2011-10-13 03:57 PM","Advanced","IH","Your intonation doesn't have any problems anymore. Just keep on enhancing it by exposing yourself more to more English You have incorporated good words in your sentences.  You are able to organize your ideas well, there are some minors, systematic mistakes in grammar specifically with the articles and word choices."
"hsu09510451","jiji","2011-10-13 03:57 PM","Intermediate","IM1","Do not speak too fast because it seems that you are mumbling the words. You are able to give answers to most of the question though there are some lapses. You sometimes lack conjunctions and prepositions. Open your mouth when you speak so that you will be able to pronounce the words well. Know more expression so that you will not sound flat all the time."
"hsu08340081","christine","2011-10-13 03:57 PM","IntermediateHigh","NH","You are not able to sustain what is needed. You don't exactly get the main point of the questions. Obviously, you are a little bit confused how to express your own ideas and thoughts. You could hardly connect your ideas and your response are totally out of the scope. Lack of vocabularies hinders you to express yourself freely. Therefore, you need to enrich your word bank so that you can easily express more meaningful and sensible ideas."
"hsu06120191","jiji","2011-10-13 03:57 PM","IntermediateHigh","IH","You articulate almost all of the words clearly. Pacing is just in normal speed but try to learn more expression so that you will not sound monotonous all the time. You are able to give complete answers to the questions though there are some lapses specifically with the tenses, conjunctions and prepositions but those were just manageable. You used simple words in your sentences but in a comprehensible manner, just make your voice a bit louder so that you will not give your listener a hard time hearing you."
"opic41","christine","2011-10-13 02:08 PM","Novice","NH","You have made several inaccuracies while sharing and giving your response. Most of your sentences aren't well constructed. In addition, you haven't followed the correct sentence patterns as well as the subject-verb agreement. Oftentimes, it's been shuffled! Hence, the idea you want to impart is vague."
"hsu07350401","christine","2011-10-13 02:06 PM","Advanced","IM1","You are not confident enough to deliver your response. Some of your sentences are not grammatically correct. Usage of articles and prepositions are not proper to some of your sentences. There are times that you tend to be confused on how you are going to express something in your mind. Avoid making frequent pauses in delivering your ideas because it will grab your time."
"hsu08951292","christine","2011-10-13 02:01 PM","Intermediate","NH","Your speech is filled with hesitancy and inaccuracy. You are not able to get the main target of the question and you tend to misunderstand it as well. Most of your answers in advance questions are totally out of the scope. Also,you have difficulty in constructing sentences which are grammatically structured. You have to learn how to organize your ideas well to avoid misinterpretation."
"hsu05950961","christine","2011-10-13 02:01 PM","IntermediateHigh","IL","Your speech is filled with hesitancy. Inconsistency of your ideas has been observed during the delivery of your response. Lack of vocabulary words hinder you to express yourself more. Do something to polish your vocabulary skill to avoid repetition of words and for you to express more sensible ideas freely. Relevant information or response is not being conveyed properly. Be careful with your grammar lapses too."
"hsu09360431","christine","2011-10-13 02:01 PM","Intermediate","IL","You speak responsibly which means that you don't care if you will commit mistakes in grammar as long as you can express your thoughts and ideas. Your main concern is your grammar or sentence construction. You are able to construct sentences but they are not grammatically correct. Therefore, you need to review about the basic sentence pattern and have deeper understanding on the grammar rules as well. Furthermore, some of your answers are out of the scope. Stay focus on answering the question."
"hsu03360781","christine","2011-10-13 02:00 PM","Superior","IM3","You have delivered your speech freely. However, redudancy of words and inconsistent usage of verb tenses are found in your responses. Though you commit grammar mistake but it does not obscure the meaning of your answer. You never hesitate to express your own ideas and thoughts. In other words, you speak assertively."
"hsu05320971","jiji","2011-10-13 01:57 PM","Advanced","IM2","You need to make your voice a little bit louder so that you will not give your listener a hard time hearing you. Open your mouth when you speak for you to be able to pronounce words well. Know more words because sometimes you find it hard to compose your sentences because you run out of words. You know how to compose sentences but there are some lapses specifically with the tenses, articles and the conjunctions. Learn more expression so that you will not sound monotonous all the time."
"hsu05920527","jiji","2011-09-25 12:11 PM","IntermediateHigh","IM2","You are able to pronounce almost all of the words well. Open your mouth when you speak so that you will be able to utter the words clearly, because sometimes it seems like you are mumbling the words giving your listeners a hard time hearing you. You know how to create sentences just be very careful with the proper tenses and thus study the usage of conjunctions (and,for,but) and preposition ( in,on,at). You are able to answer all of the questions and explain it further just organize your thoughts well so that you will be able to deliver the message to your listeners clearly. The words that you used are simple but though you are still able to use it correctly in your sentences. Know more words for you to express your answers well next time and thus enhance your vocabulary. You have the intonation or expression, know more for you to sound natural not monotonous all the time"
"ssu2008380481","jiji","2011-09-14 05:42 PM","IntermediateHigh","IH","You are able to articulate most of the words well, just try to emphasize vowel sounds \"/a/,/e/,/i/,/o/,/u/\". You are very good in constructing sentences. You are able to give long sentences though sometimes it takes you time to complete the sentence. Your intonation is satisfactory, know more expressions so that you will sound natural and not monotonous all the time. You are very careful with your answers that's why you have minimal grammar lapses.  Avoid fillers like \"ah,uhm\" because it will make you sound informal."
"hsu05120213","jamel","2011-09-08 04:30 PM","Advanced","IM1","Your grammar lapses drag your level down.  There is a need for you to review the BASIC SENTENCE PATTERN so that you will be more guided in constructing sentences. However, you never fail to express your thoughts and ideas to every question.  You just need to study more words to enhance your vocabulary and your confidence so that you can speak spontaneously."
"hsu05920321","jiji","2011-09-08 02:25 PM","Intermediate","NL","Frequent pauses enables you to run out of time. It takes you time to complete your sentences. Study the basic sentence pattern and learn more words for you to express your answers well without the difficulty in finding the right words to supply in your sentences. Know more expression for you not to sound flat and monotonous all the time. Open your mouth when you read or speak to articulate words well."
"hsu05120151","jamel","2011-09-08 02:02 PM","Advanced","IM3","You must be careful with your grammar lapses, though they are just minimal, still it can affect the flow of your thoughts and ideas.  You are fond of making fillers. You must be aware of it because it can grab much of your time specially in taking a test like this. There are also some tasks which you do failed to comply.  It really affects your performance. You need more speaking drills so that you can freely and spontaneously deliver your responses."
"hsu05940191","jiji","2011-09-08 02:02 PM","Novice","IM1","Make your voice a little bit louder so that you will not give your listener a hard time listening to you. Open your mouth when your read or speak  for you to pronounce words well. You know how to construct sentences but you need to know the usage of the prepositions and conjunctions so that your sentences will be in a complete thought. Organize your thought first so that you will be able to deliver it well and avoid frequent pauses for you not to run out of time. Know more expressions for you not to sound monotonous all the time."
"hsu08951291","christine","2011-09-08 02:02 PM","Intermediate","NH","Your speech is filled with hesitancy and fillers. Due to lack of vocabularies and confidence you tend to be confused how to express your own thoughts and ideas. Relevant information is not conveyed clearly and properly because you could hardly get the main point of the questions."
"hsu08951261","jiji","2011-09-08 02:02 PM","Intermediate","NM","You are not able to answer some of the questions. Frequent pauses enables you to run out of time. Open your mouth when you read or speak so that you will be able to articulate words well. Study more on the Subject-Verb agreement. Know more words for you not to keep on repeating your ideas and thus enhance your vocabulary. Organize your thought so that you can express your answers in clearer way."
"hsu05920523","christine","2011-09-08 02:01 PM","Intermediate","IM2","You speak assertively. You are not hesitant to say as much detail as you can. Some of your ideas and opinion are relevant to the given questions. You have used a lot of vocabularies when you express yourself, however, you tend misuse some of them. Therefore, you need to explore yourself into different words and expressions so that you could express more meaningful and sensible ideas."
"hsu05120502","jiji","2011-09-08 02:01 PM","IntermediateHigh","IM2","You have the expression, you tried your best to put emotion when you talk. You are able to compose complex sentences, just be very careful with the proper tenses. Avoid fillers like \"ah,uhm\" because you will sound informal. You are able to pronounce most of the words correctly , just open your mouth for you to articulate words well. You have a lot of ideas though there are times that it will take time for you to find the right words but those were just manageable. Learn more words for you to give twist to your sentences next time. Avoid redundancy of ideas as much as possible."
"hsu05920371","jamel","2011-09-08 01:59 PM","IntermediateHigh","IM1","You can construct complete sentences, however; it takes time for you to formulate your thoughts and ideas and that is one of the reasons why you are not able to response to some questions completely. You need to enhance your comprehension skill so that you can easily catch up the tasks given."
"hsu05110041","christine","2011-09-08 01:49 PM","Intermediate","IL","You tend to be conscious in delivering your response. Some answers are out of the scope. Therefore, you need to enhance your listening comprehension skill so that you could easily get the exact message or point of the question and to avoid expressing irrelevant ideas and opinion. Also, tenses of verbs, prepositions and articles must be used properly in your sentence to avoid committing grammar lapses."
"hsu06320744","jamel","2011-08-11 03:12 PM","IntermediateHigh","IM2","You have such good points upon responding to the questions.  You just need to work more with your vocabulary.  Sometimes, you have used words which are not suitable so, the ideas that you want to convey are not much determined. You also murmur sometimes, so the listener needs much effort to understand the things that you have uttered.  Try to speak clearly.  It is not a big concern in taking this kind of test but there will be a tendency of misunderstanding that will lead to confusion."
"hsu07510741","christine","2011-08-11 03:12 PM","IntermediateHigh","IM1","In your response, the usage of verb tenses is inconsistent. You need to review about the basic sentence pattern with deeper understanding on the grammar rules especially the \"subject-verb agreement\". You have answered all the questions, however, your responses are not accurate and inconsistent as well."
"hsu05120211","christine","2011-08-11 03:10 PM","Novice","NM","You are able to give answers to those simple questions, however, those questions which need longer reply you fail to give out relevant responses. In other words, relevant information is not being conveyed consistently and properly. You need to enhance more your listening comprehension skill."
"hsu06350992","jamel","2011-08-11 03:07 PM","IntermediateHigh","IM3","You can construct good sentences however, there is a need for you to enhance your confidence.  With that, there is a big possibility for you to organize more your thoughts and ideas.  Being a bit hesitant to speak hinders your desire to speak more spontaneously so, you are running out of time in doing your task, sometimes."
"hsu06510251","christine","2011-08-11 03:07 PM","Intermediate","NH","You are able to answer the questions but not perfectly. You tend to be unconfident to express more and have difficulty in elaborating your answers. Your speech is often filled with hesitancy which gives you an edge to make frequent pauses. Your vocabularies are too simple and you tend to misuse some of them in your sentences. For you to get a higher level, concentrate in getting the main target of the question so that you can fully comprehend the flow of your ideas in giving your response and for you to give relevant answers as well."
"hsu08930772","jamel","2011-08-11 03:06 PM","Advanced","IM2","You have a good command of language.  You are successful in incorporating those unfamiliar words  to your sentences most of the time. However, frequent pauses grab much to your time. In other words, you are not able to answer some of the questions entirely.  Therefore, restrict yourself from making pauses and fillers. Please, minimize your grammar lapses, too."
"hsu09331251","jiji","2011-08-11 03:06 PM","Intermediate","NH","Make your voice a little bit louder because you are giving your listeners a hard time understanding you. Open your mouth a bit when you speak so that you will be able to pronounce words well because it turned out that you are just mumbling the words. You need to practice and know more expression because you sounded monotonous all the time. Learn more words so that it will not be hard for you to compose your sentences because it takes you a lot of time finding the right words for your answers. Frequent pauses cause you to run out of time and thus it takes you time too complete your sentences. Review on the grammatical structure and more words for you to be able to express your answers well next time."
"hsu09510391","christine","2011-08-11 03:06 PM","Novice","NM","You know how to construct sentences, however, most of them are not grammatically structured. Learning more about the basic sentence pattern and with deeper understanding on the grammar rules, you'll be better at expressing your ideas with grammatically correct sentences. You have exerted much effort to respond the questions but most of your answers are out of the scope."
"hsu05540671","jiji","2011-08-11 03:06 PM","IntermediateHigh","IL","Gain self-confidence in yourself so that you will be able to think well. Open your mouth when you speak so that you will be able to pronounce the words well, do not mumble the words because it seems like you are eating it. But, though you are able to answer most of the questions. Know more words for you to explain your answers more. You have the intonation, you are able to give the proper rising and falling intonation in most of the words."
"hsu06950663","jiji","2011-08-11 03:06 PM","Intermediate","IM1","Basically you are able to give correct pronunciation in most of the words. Your intonation is satisfactory. One thing that you need to be careful is the emphases of vowel sounds like \"a,e,i,o,u\". Open your mouth when you pronounce so that it will be much more clearer to your listener. Avoid repetition of ideas though you are able to support most of your answers but the tendency it will make your sentences sound redundant. Avoid frequent pauses because this will cause you a lot of time wasted. You need to learn with the proper usage of linking verbs to make your sentences complete. Be careful with the proper tenses and forms of the verb."
"gomida1","jiji","2011-08-09 09:27 PM","Intermediate","IM1","You know how to pronounce almost all of the words correctly, you just need to emphasize and lengthen vowel sounds like \"a,e,i,o,u\".  With your intonation, you are able to put proper stresses in some words, try to know more expression so that you will not sound monotonous all the time. Listen to English conversation and try to use the language so that you will be use to it. Vocabulary is simple but you are able to use it well in your sentences though sometimes it takes you time to find the right words to use in your sentences, know more words for you to be able to express your answers well and thus give twist to your sentences. You are able to answer the questions it's just that gain more self confidence so that you will be able to deliver it well."
"shyfeelboy1","jamel","2011-07-30 04:26 PM","IntermediateHigh","IM3","You can respond to the question appropriately but it takes time for you to do so.  There is still a need for you to have more speaking drill so that you can speak even more spontaneously. However, the good thing in you is that, you never fail to hit the main task.  In other words, you are able to supply the answer correctly but making pauses and fillers enables you not to answer some questions completely because you are running out of time.  Try to speak continuously and do it more directly. You also need to enhance your confidence."
"lsnshk1","","2011-07-19 04:21 PM","Intermediate","NR","DEMO ONLY Version. This is a promotional sample of the OPICALL."
"hsu05120501","jamel","2011-07-07 03:28 PM","Intermediate","IM1","You need to have a good choice of words.  In other words, choose more suitable words in constructing sentences.  However, your comprehension skill is evident.  You can easily catch-up the main target of the question most of the time. You just need to work more with your vocabulary to enhance your word bank."
"hsu07351021","jamel","2011-07-07 03:04 PM","IntermediateHigh","IL","For simple tasks, you can easily catch-up the questions but for complicated or higher ones, it takes time for you to formulate your responses.  It is also difficult for you to maintain the time frame of your thoughts and ideas.  In other words, you do not maintain one tense most of the time. Study more words so that you can construct better sentences."
"hsu08130802","jamel","2011-07-07 03:03 PM","NoviceLow","NH","Most of the time, you construct fragmented ideas instead of a complete sentence. Therefore, you still need to study the BASIC SENTENCE PATTERN.  However, you can understand the questions easily, you just have difficulty in expressing your responses.  You need to have more speaking drills so that you will be accustomed in talking spontaneously. Study more words to enhance your vocabulary."
"hsu08340141","jiji","2011-07-07 02:36 PM","NoviceLow","NL","You sometimes swallow words and eventually affect your pronunciation. You are not able to hit the proper sounds most of the words.You need to enhance more your pronunciation skill.Your intonation and stress is apparently influenced by your native language. There is a need for you to apply the proper stress of the words as well as its intonation. You have difficulty constructing your sentences which affects the overall meaning. Control of grammar severely limits expression of ideas and clarity of connections among ideas.  You need to continue learning more words for you to quickly organize your thoughts. Avoid fillers like ah, uhm because you will sound very informal."
"hsu08920143","jamel","2011-07-07 02:35 PM","Intermediate","IL","You have tried your best to express your ideas.  However, it takes time for you to do so. Your limited vocabulary deprives you to elaborate your responses.  Sometimes, it is hard for you to pull out the ideas in your mind.  You need more speaking drills.  You also need to study more English words so that you can construct better sentences."
"hsu04930042","jiji","2011-07-07 02:17 PM","Novice","NL","Open your mouth when you read or speak so that you will be able to pronounce words well. Do not mumble the words because you are giving your listener a tough time understanding you. Study more words because there are time that you have the difficulty in finding the right term that you will use. Review on the proper usage of the articles \" an, the, a \", preposition \" in, on, at\" and conjunctions \" and, for, but\". You need to be aware of the tenses and forms of the verb. To improve your English skill try to read more books and use the language always so that you will be used to it. Please avoid the fillers like \"ah, uhm\" because you sound so informal. You are not able to answer big coverage of the exam dragging your level down."
"hsu04920911","jamel","2011-07-07 02:09 PM","IntermediateHigh","IH","You can construct complete sentences, however; there is still a need for you to choose more suitable words in constructing them because there are some words which destruct the flow of your thoughts to the extent that they have changed the ideas that you want to convey.  Somehow, your comprehension skill is impressive.  It is pretty obvious that you can easily catch-up the main target of the questions."
"yakult12341","jamel","2011-07-04 01:08 PM","Novice","NH","Your lack of vocabulary is the main reason why you have difficulty in pulling out the ideas upon delivering your responses.  However, you have tried your best to construct a complete sentence. You just need to study more about the BASIC SENTENCE PATTERN.  You have the potential to be a good speaker someday because your interest to learn more about the language is very evident.  Your comprehension skill is also impressive."
"ysy11","ysy","2011-06-23 12:29 AM","Advanced","NL","test"
"hsu06330902","jamel","2011-06-09 10:11 AM","Intermediate","NH","You still have difficulty in constructing complete sentences. It takes time for you to formulate your thoughts and ideas.  There is a problem in organizing your thoughts. You should develop your listening skill because it can help you when you take test in the future."
"hsu07110864","jiji","2011-06-09 03:24 PM","Advanced","IM2","Your voice is not that clear make it a little bit louder, please try not to mumble words  because you are giving your listener a hard time understanding what you are saying. Make your voice a little bit louder. Open your mouth when your read or speak so that you will be able to pronounce words correctly. Frequent pause enables you to ran out of time. You know how to construct sentences just be very careful of the proper tenses of the verb. Know more words so that you will be able to express your ideas well."
"hsu04920321","jiji","2011-06-09 03:23 PM","Intermediate","IL","You are failed to answer some of the questions. Organize your thoughts well so that it will not be so confusing. You have frequent pauses and it cause you to ran out of time. Avoid fillers like \"ah,uhm,\" because it will make you sound informal. Open your mouth when you speak so that you will be able to pronounce words correctly. Some of your answers are out of scope. In answering question make sure that you will highlight the basic information and elaborate it further. Know more expressions so that you will not sound monotonous all the time. You know how to construct simple sentences but there is still a need for you to review the sentence pattern."
"hsu02351611","jiji","2011-06-09 03:16 PM","NoviceLow","NM","Open your mouth when you speak because it turns out that you are mumbling the words.Make your voice a little bit louder. You can to compose very simple sentences just be very careful of the proper tenses of the verb and you need more review of the correct sentence pattern. You are not able to answer some of the questions but there are some numbers that you are able to give the basic information needed. You tried your best to put intonation to each word, know more expression so that you will sound more natural and not monotonous all the time. Frequent pauses caused you to ran out of time. You need to familiarize word meanings so that you will be able to understand the questions."
"hsu04920531","jiji","2011-06-09 03:16 PM","Intermediate","IM1","Your voice is well modulated, you are not giving your listener a hard time hearing you. You know how to construct simple sentences although it will take you time to complete your sentences. Be very careful of the verb tenses. There are some numbers that you have frequent pauses and it caused you a lot of time wasted.  You failed to answer some questions. In answering questions try to elaborate more and make sure that you are able to state the basic information. You are able to pronounce some of the words correctly, you need to lengthen vowel sounds like \"a,e,i,o,u\". Open your mouth when you speak or read so that you will be able to pronounce words well."
"hsu06940542","jiji","2011-06-09 02:18 PM","Novice","IM1","You are very hesitant in giving some of your answers. Make your voice a little bit louder so that you will not give your listener a hard time hearing you. Open your mouth when you speak so that you will be able to utter or pronounce words correctly. You are able to elaborate your answers in some of the number. You need to review on the proper tenses of the verbs. Know more vocabulary so that you will be able to express your thought well and easier. Expression should be given emphases too so that you will not sound monotonous all the time."
"hsu08540111","jiji","2011-06-09 01:47 PM","NoviceLow","NM","Do not mumble your words because you are giving your listener a hard time understanding you. Open your mouth when you speak so that you will be able to pronounce the words clearly. Frequent pauses enables you to ran out of time. You know how to construct simple sentences although it takes time for you to construct it, review more on the proper sentences construction. Know more vocabulary so that you will be able to express your ideas well because sometimes you have the difficulty in finding the right words.Organize your thoughts well so that the message that you wanted to convey will not be confusing to your listener.  Make your voice a little bit louder."
"hsu06350991","jamel","2011-06-09 01:17 PM","IntermediateHigh","IM1","You can construct complete sentences but there is still a need for you to organize your thought and ideas more. You should prepare yourself by gaining more confidence because this can help you in improving your English skills as fast as you can. You are good enough because when we focus more on answering the question given, you can answer it directly. You are time-conscious enough. All you have to do is be more confident. In addition, you use simple vocabularies.  Try to familiarize some words in order to interact well."
"hsu04920941","jamel","2011-06-09 01:16 PM","Advanced","IH","You know when and how to express your answers in a complete thought although there are times that your sentences are a bit confusing due to the usage of prepositions but need not to worry much since they are manageable. Your main concern, is your comprehension skill.  There is a need for you to go deeper in comprehending each task so that you can formulate more sensible responses."
"hsu06111022","jamel","2011-06-09 01:15 PM","Advanced","IH","You can easily organize your thought without any hesitation. Your strengths can really weigh-out to your weaknesses. The best thing that you have made is giving such an impressive response.  You are able to propose a concise answer to the given task.  In other words, you are able to hit your main task.  However, there is still a need for you to choose more suitable words in constructing sentences."
"hsu05350232","jamel","2011-06-09 01:15 PM","Intermediate","IL","You can construct good sentences. However, you still need to study the Sentence Pattern more. Eventually, you will be very good in speaking the English language if you will keep on practicing it. Study your mistakes so that you will not commit mistakes repeatedly. Furthermore; enhance your vocabularies because it will help you a lot. You have the potential to become a good conversationalist."
"hsu08340221","jamel","2011-06-09 01:15 PM","IntermediateHigh","IM3","You have an impressive speaking skill because you talk with confidence. Your just really need to restrict yourself from making repetition of your thoughts and ideas in delivering them. You also need to choose more suitable words in constructing sentences.  However, your listening skill is an asset for you to catch the main target of the question which gives you a good score in the relevance of content field.  You focus well during the test which gives a good result for the coherence and unity of your ideas."
"hsu07350411","jamel","2011-06-09 01:15 PM","IntermediateHigh","IL","You are able to construct good responses but there is still hesitation in delivering your answer. Some of the tasks are not answered completely because it takes time for you to formulate your thoughts and ideas and it affects much to your performance. Your weakness is more on the completeness of answering the given questions.  In having a limited word bank enables to waste your time in organizing your ideas.  Your less knowledge about the sentence pattern hinders you to express more organized and sensible ideas."
"hsu06350091","christine","2011-05-12 04:10 PM","Advanced","IM3","You are able to express your own thoughts and ideas freely though you make pauses sometimes in delivering your speech. When you answer some questions there are inaccuracies noted such as grammar lapses, incorrect choice of words and inappropriate usage of preposition as well. You are able to give relevant answers to some of the questions given. Learning more words to say certain things would be a great help in honing your every language skills."
"opic11","christine","2011-05-12 04:08 PM","IntermediateHigh","IM1","Your speech filled with hesitancy and you make frequent pauses as well. You are able to use a lot of vocabularies in expressing your ideas, however they are too simple and you tend to misuse some of them. The sentence structure is fine and the ideas as well are easy to follow but your grammar is inconsistent. It's good that you sometimes correct your own grammar mistakes, however there are times that you are no longer aware of your grammar lapses especially in the midst of your speech. Be careful in using tenses of verbs because there are  inconsistencies noted in your sentence."
"hsu04931661","jamel","2011-05-12 04:01 PM","IntermediateHigh","IL","Restrict yourself from repeating your ideas, aside from confusion, it grabs much of your time.  You have answered few questions only.  It seriously affect your  score.  ?	The lack of vocabulary is the main reason of your speaking difficulty. In fact, you have hard time pulling out the right words from your head. Indeed, you have to broaden your vocabulary through memorizing and familiarizing useful expressions and words."
"hsu09140421","jamel","2011-05-12 04:00 PM","Novice","NM","The lack of vocabulary is the main reason of your speaking difficulty. In fact, you have hard time pulling out the right words from your head. Indeed, you have to broaden your vocabulary through memorizing and familiarizing useful expressions and words."
"hsu07110863","jamel","2011-05-12 04:00 PM","Superior","IM2","You are able to share your ideas but you have several pauses when you try to think of words to fill in the sentences you want to convey.  You have not been so spontaneous in coming up with words for your ideas. Try to dig deeper on your vocabulary words so you can express your thoughts and ideas more."
"hsu06320743","jiji","2011-05-12 04:00 PM","Advanced","IM2","You are able to answer all of the questions. You converse with ease and confidence. You have many things in your mind. There is a need for you to open your mouth when you speak so that you will be able to pronounce words correctly.  You know how to construct simple sentences just be very careful with proper tenses and forms of the verb. You are able to use your words correctly in your sentences know more so that you will be able to elaborate your answers well. Know more expression so that you will sound more natural in speaking and in reading."
